UKBB data field	ICD10	PheCode	Lookup text	Curated reported trait	main ontology URI(s)	main ontology label(s)	Publication	User submitted trait	qc_status	qc_resolution_modes	qc_label_match_modes	qc_unresolved_ids	final_update_applied	final_update_reason
-	H00.H06	-	ICD10 H00.H06 eye adnexa disease	ICD10 H00.H06: eye adnexa disease	EFO_0009546	eye adnexa disease	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	H01.0	-	ICD10 H01.0 blepharitis	ICD10 H01.0: blepharitis	EFO_0009536	blepharitis	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	H01.1	-	ICD10 H01.1 noninfectious dermatoses of eyelid	ICD10 H01.1: noninfectious dermatoses of eyelid	MONDO_0002137	noninfectious dermatoses of eyelid	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	H01.9	-	ICD10 H01.9 blepharitis	ICD10 H01.9: blepharitis	EFO_0009536	blepharitis	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	H02.1	-	ICD10 H02.1 ectropion	ICD10 H02.1: ectropion	MONDO_0002043	ectropion	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	H02.2	-	ICD10 H02.2 lagophthalmos	ICD10 H02.2: lagophthalmos	MONDO_0001604	lagophthalmos	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	H02.86	-	ICD10 H02.86 eyelid degenerative disorder	ICD10 H02.86: eyelid degenerative disorder	MONDO_0000941	eyelid degenerative disorder	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	H03	-	ICD10 H03 eyelid disease	ICD10 H03: eyelid disease	EFO_0009547	eyelid disease	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	H04.0	-	ICD10 H04.0 dacryoadenitis	ICD10 H04.0: dacryoadenitis	MONDO_0004804	dacryoadenitis	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	H04.01	-	ICD10 H04.01 acute dacryoadenitis	ICD10 H04.01: acute dacryoadenitis	MONDO_0004812	acute dacryoadenitis	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	H04.02	-	ICD10 H04.02 chronic dacryoadenitis	ICD10 H04.02: chronic dacryoadenitis	MONDO_0004800	chronic dacryoadenitis	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	H04.12	-	ICD10 H04.12 dry eye syndrome	ICD10 H04.12: dry eye syndrome	EFO_1000906	dry eye syndrome	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	H05.0	-	ICD10 H05.0 acute orbital inflammation	ICD10 H05.0: acute orbital inflammation	MONDO_0001230	acute orbital inflammation	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	H05.12	-	ICD10 H05.12 orbital myositis	ICD10 H05.12: orbital myositis	EFO_1001819	orbital myositis	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	H05.82	-	ICD10 H05.82 myopathy of extraocular muscle	ICD10 H05.82: myopathy of extraocular muscle	MONDO_0004746	myopathy of extraocular muscle	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	H10.4	-	ICD10 H10.4 chronic conjunctivitis	ICD10 H10.4: chronic conjunctivitis	MONDO_0002314	chronic conjunctivitis	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	H10.5	-	ICD10 H10.5 blepharoconjunctivitis	ICD10 H10.5: blepharoconjunctivitis	MONDO_0002307	blepharoconjunctivitis	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	H11.0	-	ICD10 H11.0 pterygium	ICD10 H11.0: pterygium	EFO_0000678	pterygium	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	H11.00	-	ICD10 H11.00 pterygium	ICD10 H11.00: pterygium	EFO_0000678	pterygium	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	H11.009	-	ICD10 H11.009 pterygium	ICD10 H11.009: pterygium	EFO_0000678	pterygium	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	H11.15	-	ICD10 H11.15 pinguecula	ICD10 H11.15: pinguecula	EFO_1001824	pinguecula	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	H11.41	-	ICD10 H11.41 conjunctival vascular disorder	ICD10 H11.41: conjunctival vascular disorder	MONDO_0001174	conjunctival vascular disorder	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	H13	-	ICD10 H13 conjunctival disorder	ICD10 H13: conjunctival disorder	EFO_1000203	conjunctival disorder	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	H15.0	-	ICD10 H15.0 scleritis	ICD10 H15.0: scleritis	MONDO_0001718	scleritis	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	H15.04	-	ICD10 H15.04 scleroperikeratitis	ICD10 H15.04: scleroperikeratitis	MONDO_0001816	scleroperikeratitis	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	H16.0	-	ICD10 H16.0 corneal ulcer	ICD10 H16.0: corneal ulcer	MONDO_0004577	corneal ulcer	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	H16.13	-	ICD10 H16.13 photokeratitis	ICD10 H16.13: photokeratitis	MONDO_0001760	photokeratitis	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	H16.2	-	ICD10 H16.2 keratoconjunctivitis	ICD10 H16.2: keratoconjunctivitis	MONDO_0004768	keratoconjunctivitis	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	H16.4	-	ICD10 H16.4 corneal neovascularization	ICD10 H16.4: corneal neovascularization	EFO_1000880	corneal neovascularization	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	H18.0	-	ICD10 H18.0 corneal deposit	ICD10 H18.0: corneal deposit	MONDO_0001308	corneal deposit	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	H18.06	-	ICD10 H18.06 stromal corneal pigmentation	ICD10 H18.06: stromal corneal pigmentation	EFO_1000770	stromal corneal pigmentation	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	H18.22	-	ICD10 H18.22 idiopathic corneal edema	ICD10 H18.22: idiopathic corneal edema	MONDO_0001182	idiopathic corneal edema	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	H18.4	-	ICD10 H18.4 corneal degeneration	ICD10 H18.4: corneal degeneration	MONDO_0001515	corneal degeneration	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	H18.41	-	ICD10 H18.41 arcus senilis	ICD10 H18.41: arcus senilis	EFO_1000818	arcus senilis	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	H18.54	-	ICD10 H18.54 epithelial-stromal TGFBI dystrophy	ICD10 H18.54: epithelial-stromal TGFBI dystrophy	MONDO_0000764	epithelial-stromal TGFBI dystrophy	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	H18.55	-	ICD10 H18.55 macular corneal dystrophy	ICD10 H18.55: macular corneal dystrophy	MONDO_0009020	macular corneal dystrophy	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	H18.6	-	ICD10 H18.6 keratoconus	ICD10 H18.6: keratoconus	MONDO_0015486	keratoconus	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	H20.82	-	ICD10 H20.82 syndromic disease	ICD10 H20.82: syndromic disease	MONDO_0002254	syndromic disease	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	H30.1	-	ICD10 H30.1 disseminated chorioretinitis	ICD10 H30.1: disseminated chorioretinitis	MONDO_0004657	disseminated chorioretinitis	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	H30.81	-	ICD10 H30.81 syndromic disease	ICD10 H30.81: syndromic disease	MONDO_0002254	syndromic disease	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	H31.21	-	ICD10 H31.21 choroideremia	ICD10 H31.21: choroideremia	MONDO_0010557	choroideremia	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	H31.22	-	ICD10 H31.22 central areolar choroidal dystrophy	ICD10 H31.22: central areolar choroidal dystrophy	MONDO_0008982	central areolar choroidal dystrophy	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	H33.0	-	ICD10 H33.0 rhegmatogenous retinal detachment	ICD10 H33.0: rhegmatogenous retinal detachment	EFO_0005240	rhegmatogenous retinal detachment	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
