UKBB data field	ICD10	PheCode	Lookup text	Curated reported trait	main ontology URI(s)	main ontology label(s)	Publication	User submitted trait	qc_status	qc_resolution_modes	qc_label_match_modes	qc_unresolved_ids	final_update_applied	final_update_reason
-	-	-	Cognitive function - FI4 positional arithmetic - 6	Cognitive function - FI4 positional arithmetic - 6	EFO_0008354	cognitive function measurement	PMID34662886_manual_qc_seed_v1	-	validated	manual_curator_seed_text_only	manual_curator_seed_text_only		yes	manual_curator_seed_text_only_from_worse_sure_strict_unique
-	-	-	Cognitive function - FI4 positional arithmetic - 7	Cognitive function - FI4 positional arithmetic - 7	EFO_0008354	cognitive function measurement	PMID34662886_manual_qc_seed_v1	-	validated	manual_curator_seed_text_only	manual_curator_seed_text_only		yes	manual_curator_seed_text_only_from_worse_sure_strict_unique
-	-	-	Cognitive function - FI4 positional arithmetic - 8	Cognitive function - FI4 positional arithmetic - 8	EFO_0008354	cognitive function measurement	PMID34662886_manual_qc_seed_v1	-	validated	manual_curator_seed_text_only	manual_curator_seed_text_only		yes	manual_curator_seed_text_only_from_worse_sure_strict_unique
-	-	-	Cognitive function - FI4 positional arithmetic - 9	Cognitive function - FI4 positional arithmetic - 9	EFO_0008354	cognitive function measurement	PMID34662886_manual_qc_seed_v1	-	validated	manual_curator_seed_text_only	manual_curator_seed_text_only		yes	manual_curator_seed_text_only_from_worse_sure_strict_unique
-	-	-	Non-alcoholic fatty liver disease - Composite	Non-alcoholic fatty liver disease - Composite	MONDO_0013209	metabolic dysfunction-associated steatotic liver disease	PMID34662886_manual_qc_seed_v1	-	validated	manual_curator_seed_text_only	manual_curator_seed_text_only		yes	manual_curator_seed_text_only_from_worse_sure_strict_unique
-	-	-	Non-alcoholic fatty liver disease - Cirrhosis	Non-alcoholic fatty liver disease - Cirrhosis	MONDO_0013209	metabolic dysfunction-associated steatotic liver disease	PMID34662886_manual_qc_seed_v1	-	validated	manual_curator_seed_text_only	manual_curator_seed_text_only		yes	manual_curator_seed_text_only_from_worse_sure_strict_unique
-	-	-	Type 2 diabetes Nephropathy Loose	Type 2 diabetes Nephropathy Loose	EFO_0004997	type 2 diabetes nephropathy	PMID34662886_manual_qc_seed_v1	-	validated	manual_curator_seed_text_only	manual_curator_seed_text_only		yes	manual_curator_seed_text_only_from_worse_sure_strict_unique
-	-	-	Astigmatism angle right	Astigmatism angle right	HP_0000483	Astigmatism	PMID34662886_manual_qc_seed_v1	-	validated	manual_curator_seed_text_only	manual_curator_seed_text_only		yes	manual_curator_seed_text_only_from_worse_sure_strict_unique
-	-	-	Cognitive function - FI13 subset inclusion logic - Neither true nor false	Cognitive function - FI13 subset inclusion logic - Neither true nor false	EFO_0008354	cognitive function measurement	PMID34662886_manual_qc_seed_v1	-	validated	manual_curator_seed_text_only	manual_curator_seed_text_only		yes	manual_curator_seed_text_only_from_worse_sure_strict_unique
-	-	-	Cognitive function - FI13 subset inclusion logic	Cognitive function - FI13 subset inclusion logic	EFO_0008354	cognitive function measurement	PMID34662886_manual_qc_seed_v1	-	validated	manual_curator_seed_text_only	manual_curator_seed_text_only		yes	manual_curator_seed_text_only_from_worse_sure_strict_unique
-	-	-	Smoking status - Current	Smoking status - Current	EFO_0006527	smoking status measurement	PMID34662886_manual_qc_seed_v1	-	validated	manual_curator_seed_text_only	manual_curator_seed_text_only		yes	manual_curator_seed_text_only_from_worse_sure_strict_unique
-	-	-	Cognitive function - FI1 numeric addition test - 14 (4935)	Cognitive function - FI1 numeric addition test - 14 (4935)	EFO_0008354	cognitive function measurement	PMID34662886_manual_qc_seed_v1	-	validated	manual_curator_seed_text_only	manual_curator_seed_text_only		yes	manual_curator_seed_text_only_from_worse_sure_strict_unique
-	-	-	Cognitive function - FI1 numeric addition test - 15 (4935)	Cognitive function - FI1 numeric addition test - 15 (4935)	EFO_0008354	cognitive function measurement	PMID34662886_manual_qc_seed_v1	-	validated	manual_curator_seed_text_only	manual_curator_seed_text_only		yes	manual_curator_seed_text_only_from_worse_sure_strict_unique
-	-	-	Cognitive function - FI1 numeric addition test - 16 (4935)	Cognitive function - FI1 numeric addition test - 16 (4935)	EFO_0008354	cognitive function measurement	PMID34662886_manual_qc_seed_v1	-	validated	manual_curator_seed_text_only	manual_curator_seed_text_only		yes	manual_curator_seed_text_only_from_worse_sure_strict_unique
-	-	-	Cognitive function - FI1 numeric addition test - 17 (4935)	Cognitive function - FI1 numeric addition test - 17 (4935)	EFO_0008354	cognitive function measurement	PMID34662886_manual_qc_seed_v1	-	validated	manual_curator_seed_text_only	manual_curator_seed_text_only		yes	manual_curator_seed_text_only_from_worse_sure_strict_unique
-	-	-	Cognitive function - FI1 numeric addition test - 13 (4935)	Cognitive function - FI1 numeric addition test - 13 (4935)	EFO_0008354	cognitive function measurement	PMID34662886_manual_qc_seed_v1	-	validated	manual_curator_seed_text_only	manual_curator_seed_text_only		yes	manual_curator_seed_text_only_from_worse_sure_strict_unique
-	-	-	Astigmatism angle left	Astigmatism angle left	HP_0000483	Astigmatism	PMID34662886_manual_qc_seed_v1	-	validated	manual_curator_seed_text_only	manual_curator_seed_text_only		yes	manual_curator_seed_text_only_from_worse_sure_strict_unique
-	-	-	Pain in lower leg	Pain in lower leg	HP_0012514	Lower limb pain	PMID34662886_manual_qc_seed_v1	-	validated	manual_curator_seed_text_only	manual_curator_seed_text_only		yes	manual_curator_seed_text_only_from_worse_sure_strict_unique
-	-	-	Cognitive function - FI13 subset inclusion logic - False	Cognitive function - FI13 subset inclusion logic - False	EFO_0008354	cognitive function measurement	PMID34662886_manual_qc_seed_v1	-	validated	manual_curator_seed_text_only	manual_curator_seed_text_only		yes	manual_curator_seed_text_only_from_worse_sure_strict_unique
-	-	-	Cognitive function - FI12 square sequence recognition - 48	Cognitive function - FI12 square sequence recognition - 48	EFO_0008354	cognitive function measurement	PMID34662886_manual_qc_seed_v1	-	validated	manual_curator_seed_text_only	manual_curator_seed_text_only		yes	manual_curator_seed_text_only_from_worse_sure_strict_unique
-	-	-	Cognitive function - FI12 square sequence recognition - 49	Cognitive function - FI12 square sequence recognition - 49	EFO_0008354	cognitive function measurement	PMID34662886_manual_qc_seed_v1	-	validated	manual_curator_seed_text_only	manual_curator_seed_text_only		yes	manual_curator_seed_text_only_from_worse_sure_strict_unique
-	-	-	Cognitive function - FI12 square sequence recognition - 50	Cognitive function - FI12 square sequence recognition - 50	EFO_0008354	cognitive function measurement	PMID34662886_manual_qc_seed_v1	-	validated	manual_curator_seed_text_only	manual_curator_seed_text_only		yes	manual_curator_seed_text_only_from_worse_sure_strict_unique
-	-	-	Seropositivity for Merkel Cell Polyomavirus	Seropositivity for Merkel Cell Polyomavirus	EFO_0010906	merkel cell virus seropositivity	PMID34662886_manual_qc_seed_v1	-	validated	manual_curator_seed_text_only	manual_curator_seed_text_only		yes	manual_curator_seed_text_only_from_worse_sure_strict_unique
-	-	-	Cognitive function - FI12 square sequence recognition - 45	Cognitive function - FI12 square sequence recognition - 45	EFO_0008354	cognitive function measurement	PMID34662886_manual_qc_seed_v1	-	validated	manual_curator_seed_text_only	manual_curator_seed_text_only		yes	manual_curator_seed_text_only_from_worse_sure_strict_unique
-	-	-	Astigmatism - both eyes	Astigmatism - both eyes	HP_0000483	Astigmatism	PMID34662886_manual_qc_seed_v1	-	validated	manual_curator_seed_text_only	manual_curator_seed_text_only		yes	manual_curator_seed_text_only_from_worse_sure_strict_unique
