trait	uri
"aspirin hydrolysis measurement"	"http://www.ebi.ac.uk/efo/EFO_0005211"
"brain connectivity attribute"	"http://purl.obolibrary.org/obo/OBA_2045295"
"response to carboplatin"	"http://purl.obolibrary.org/obo/GO_0097328"
"glomerular filtration rate"	"http://purl.obolibrary.org/obo/OBA_0003747"
"oligoclonal band measurement"	"http://www.ebi.ac.uk/efo/EFO_0005206"
"body height"	"http://purl.obolibrary.org/obo/OBA_VT0001253"
"body mass index"	"http://www.ebi.ac.uk/efo/EFO_0004340"
"body fat distribution"	"http://www.ebi.ac.uk/efo/EFO_0004341"
"waist circumference"	"http://purl.obolibrary.org/obo/OBA_1001085"
"waist-hip ratio"	"http://www.ebi.ac.uk/efo/EFO_0004343"
"birth weight"	"http://www.ebi.ac.uk/efo/EFO_0004344"
"corneal topography"	"http://www.ebi.ac.uk/efo/EFO_0004345"
"neuroimaging measurement"	"http://www.ebi.ac.uk/efo/EFO_0004346"
hematocrit	"http://www.ebi.ac.uk/efo/EFO_0004348"
reasoning	"http://www.ebi.ac.uk/efo/EFO_0004350"
"heart rate"	"http://purl.obolibrary.org/obo/OBA_1001087"
mortality	"http://www.ebi.ac.uk/efo/EFO_0004352"
"circadian rhythm"	"http://purl.obolibrary.org/obo/GO_0007623"
"sensory perception of taste"	"http://purl.obolibrary.org/obo/GO_0050909"
"electroencephalogram measurement"	"http://www.ebi.ac.uk/efo/EFO_0004357"
"event-related brain oscillation"	"http://www.ebi.ac.uk/efo/EFO_0004358"
"psychomotor performance"	"http://www.ebi.ac.uk/efo/EFO_0004362"
"information processing speed"	"http://www.ebi.ac.uk/efo/EFO_0004363"
"personality trait"	"http://www.ebi.ac.uk/efo/EFO_0004365"
"C-reactive protein measurement"	"http://www.ebi.ac.uk/efo/EFO_0004458"
"ferritin measurement"	"http://www.ebi.ac.uk/efo/EFO_0004459"
"soluble transferrin receptor measurement"	"http://www.ebi.ac.uk/efo/EFO_0004460"
"iron biomarker measurement"	"http://www.ebi.ac.uk/efo/EFO_0004461"
"PR interval"	"http://www.ebi.ac.uk/efo/EFO_0004462"
"angiotensin converting enzyme activity attribute"	"http://purl.obolibrary.org/obo/OBA_2045290"
"brain attribute"	"http://purl.obolibrary.org/obo/OBA_2045210"
"blood insulin amount"	"http://purl.obolibrary.org/obo/OBA_VT0001560"
"insulin measurement"	"http://www.ebi.ac.uk/efo/EFO_0004467"
"glucose measurement"	"http://www.ebi.ac.uk/efo/EFO_0004468"
"adiponectin measurement"	"http://www.ebi.ac.uk/efo/EFO_0004502"
"hematological measurement"	"http://www.ebi.ac.uk/efo/EFO_0004503"
