efo_id	label	synonyms	source
OBA:2058606	level of contactin-1 (human) in cerebrospinal fluid	cerebrospinal fluid contactin-1 (human) amount	efo-obo-measurement-branch
OBA:2058607	level of cadherin-17 (human) in cerebrospinal fluid	cerebrospinal fluid cadherin-17 (human) amount	efo-obo-measurement-branch
OBA:2058608	level of tyrosine-protein kinase Mer (human) in cerebrospinal fluid	cerebrospinal fluid tyrosine-protein kinase Mer (human) amount	efo-obo-measurement-branch
OBA:2058609	level of prolyl endopeptidase FAP (human) in cerebrospinal fluid	cerebrospinal fluid prolyl endopeptidase FAP (human) amount	efo-obo-measurement-branch
OBA:2058610	level of aminoacyl tRNA synthase complex-interacting multifunctional protein 1 (human) in cerebrospinal fluid	cerebrospinal fluid aminoacyl tRNA synthase complex-interacting multifunctional protein 1 (human) amount	efo-obo-measurement-branch
OBA:2058611	level of interleukin enhancer-binding factor 2 (human) in cerebrospinal fluid	cerebrospinal fluid interleukin enhancer-binding factor 2 (human) amount	efo-obo-measurement-branch
OBA:2058612	level of interleukin enhancer-binding factor 3 (human) in cerebrospinal fluid	cerebrospinal fluid interleukin enhancer-binding factor 3 (human) amount	efo-obo-measurement-branch
OBA:2058613	level of vesicular integral-membrane protein VIP36 (human) in cerebrospinal fluid	cerebrospinal fluid vesicular integral-membrane protein VIP36 (human) amount	efo-obo-measurement-branch
OBA:2058614	level of inositol 1,4,5-triphosphate receptor associated 2 (human) in cerebrospinal fluid	cerebrospinal fluid inositol 1,4,5-triphosphate receptor associated 2 (human) amount	efo-obo-measurement-branch
OBA:2058615	level of receptor-type tyrosine-protein phosphatase eta (human) in cerebrospinal fluid	cerebrospinal fluid receptor-type tyrosine-protein phosphatase eta (human) amount	efo-obo-measurement-branch
OBA:2058616	level of killer cell lectin-like receptor subfamily B member 1 (human) in cerebrospinal fluid	cerebrospinal fluid killer cell lectin-like receptor subfamily B member 1 (human) amount	efo-obo-measurement-branch
OBA:2058617	level of tyrosine-protein phosphatase non-receptor type 13 (human) in cerebrospinal fluid	cerebrospinal fluid tyrosine-protein phosphatase non-receptor type 13 (human) amount	efo-obo-measurement-branch
OBA:2058618	level of ELAV-like protein 2 (human) in cerebrospinal fluid	cerebrospinal fluid ELAV-like protein 2 (human) amount	efo-obo-measurement-branch
OBA:2058619	level of transcription initiation factor TFIID subunit 10 (human) in cerebrospinal fluid	cerebrospinal fluid transcription initiation factor TFIID subunit 10 (human) amount	efo-obo-measurement-branch
OBA:2058620	level of nuclear inhibitor of protein phosphatase 1 (human) in cerebrospinal fluid	cerebrospinal fluid nuclear inhibitor of protein phosphatase 1 (human) amount	efo-obo-measurement-branch
OBA:2058621	level of protein tyrosine phosphatase type IVA 2 (human) in cerebrospinal fluid	cerebrospinal fluid protein tyrosine phosphatase type IVA 2 (human) amount	efo-obo-measurement-branch
OBA:2058622	level of active breakpoint cluster region-related protein (human) in cerebrospinal fluid	cerebrospinal fluid active breakpoint cluster region-related protein (human) amount	efo-obo-measurement-branch
OBA:2058623	level of BCL2/adenovirus E1B 19 kDa protein-interacting protein 3 (human) in cerebrospinal fluid	cerebrospinal fluid BCL2/adenovirus E1B 19 kDa protein-interacting protein 3 (human) amount	efo-obo-measurement-branch
OBA:2058624	level of heat shock protein beta-3 (human) in cerebrospinal fluid	cerebrospinal fluid heat shock protein beta-3 (human) amount	efo-obo-measurement-branch
OBA:2058625	level of glutamate receptor ionotropic, kainate 2 (human) in cerebrospinal fluid	cerebrospinal fluid glutamate receptor ionotropic, kainate 2 (human) amount	efo-obo-measurement-branch
OBA:2058626	level of interleukin-24 (human) in cerebrospinal fluid	cerebrospinal fluid interleukin-24 (human) amount	efo-obo-measurement-branch
OBA:2058627	level of Rho guanine nucleotide exchange factor TIAM1 (human) in cerebrospinal fluid	cerebrospinal fluid Rho guanine nucleotide exchange factor TIAM1 (human) amount	efo-obo-measurement-branch
OBA:2058628	level of Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial (human) in cerebrospinal fluid	cerebrospinal fluid Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial (human) amount	efo-obo-measurement-branch
OBA:2058629	level of Rho GTPase-activating protein 5 (human) in cerebrospinal fluid	cerebrospinal fluid Rho GTPase-activating protein 5 (human) amount	efo-obo-measurement-branch
OBA:2058630	level of secretory phospholipase A2 receptor (human) in cerebrospinal fluid	cerebrospinal fluid secretory phospholipase A2 receptor (human) amount	efo-obo-measurement-branch
OBA:2058631	level of serine/threonine-protein kinase 4 (human) in cerebrospinal fluid	cerebrospinal fluid serine/threonine-protein kinase 4 (human) amount	efo-obo-measurement-branch
OBA:2058632	level of protein flightless-1 homolog (human) in cerebrospinal fluid	cerebrospinal fluid protein flightless-1 homolog (human) amount	efo-obo-measurement-branch
OBA:2058633	level of pregnancy-specific beta-1-glycoprotein 7 (human) in cerebrospinal fluid	cerebrospinal fluid pregnancy-specific beta-1-glycoprotein 7 (human) amount	efo-obo-measurement-branch
OBA:2058634	level of bifunctional coenzyme A synthase (human) in cerebrospinal fluid	cerebrospinal fluid bifunctional coenzyme A synthase (human) amount	efo-obo-measurement-branch
OBA:2058635	level of G antigen 2B/2C (human) in cerebrospinal fluid	cerebrospinal fluid G antigen 2B/2C (human) amount	efo-obo-measurement-branch
OBA:2058636	level of large ribosomal subunit protein bL28m (human) in cerebrospinal fluid	cerebrospinal fluid large ribosomal subunit protein bL28m (human) amount	efo-obo-measurement-branch
OBA:2058637	level of platelet-activating factor acetylhydrolase (human) in cerebrospinal fluid	cerebrospinal fluid platelet-activating factor acetylhydrolase (human) amount	efo-obo-measurement-branch
OBA:2058638	level of ubiquitin carboxyl-terminal hydrolase 4 (human) in cerebrospinal fluid	cerebrospinal fluid ubiquitin carboxyl-terminal hydrolase 4 (human) amount	efo-obo-measurement-branch
OBA:2058639	level of dual specificity protein phosphatase 4 (human) in cerebrospinal fluid	cerebrospinal fluid dual specificity protein phosphatase 4 (human) amount	efo-obo-measurement-branch
OBA:2058640	level of protein Red (human) in cerebrospinal fluid	cerebrospinal fluid protein Red (human) amount	efo-obo-measurement-branch
OBA:2058641	level of S-methyl-5'-thioadenosine phosphorylase (human) in cerebrospinal fluid	cerebrospinal fluid S-methyl-5'-thioadenosine phosphorylase (human) amount	efo-obo-measurement-branch
OBA:2058642	level of liprin-alpha-1 (human) in cerebrospinal fluid	cerebrospinal fluid liprin-alpha-1 (human) amount	efo-obo-measurement-branch
OBA:2058643	level of calcium-binding and coiled-coil domain-containing protein 2 (human) in cerebrospinal fluid	cerebrospinal fluid calcium-binding and coiled-coil domain-containing protein 2 (human) amount	efo-obo-measurement-branch
OBA:2058644	level of BMP and activin membrane-bound inhibitor homolog (human) in cerebrospinal fluid	cerebrospinal fluid BMP and activin membrane-bound inhibitor homolog (human) amount	efo-obo-measurement-branch
OBA:2058645	level of TAR DNA-binding protein 43 (human) in cerebrospinal fluid	cerebrospinal fluid TAR DNA-binding protein 43 (human) amount	efo-obo-measurement-branch
OBA:2058646	level of heterogeneous nuclear ribonucleoprotein A0 (human) in cerebrospinal fluid	cerebrospinal fluid heterogeneous nuclear ribonucleoprotein A0 (human) amount	efo-obo-measurement-branch
OBA:2058647	level of FAS-associated death domain protein (human) in cerebrospinal fluid	cerebrospinal fluid FAS-associated death domain protein (human) amount	efo-obo-measurement-branch
OBA:2058648	level of peroxiredoxin-4 (human) in cerebrospinal fluid	cerebrospinal fluid peroxiredoxin-4 (human) amount	efo-obo-measurement-branch
OBA:2058649	level of dual specificity mitogen-activated protein kinase kinase 5 (human) in cerebrospinal fluid	cerebrospinal fluid dual specificity mitogen-activated protein kinase kinase 5 (human) amount	efo-obo-measurement-branch
OBA:2058650	level of chromobox protein homolog 3 (human) in cerebrospinal fluid	cerebrospinal fluid chromobox protein homolog 3 (human) amount	efo-obo-measurement-branch
